instance_id,shares
0,5995.425593047206
1,5504.659141558978
2,4463.127696371477
3,5568.7795286592855
4,5962.958828184082
5,6245.23811061016
6,5415.107346245439
7,6054.735241870403
8,6455.868208054954
9,6532.496173295204
10,4874.303514449149
11,5343.756298635461
12,6087.060405101198
13,5641.397369101641
14,6797.802131766854
15,5529.588143348558
16,6540.799141871994
17,5670.531701180654
18,6540.912594887578
19,4957.849930966016
20,5586.727277036443
21,5407.818413542376
22,1706.747171619997
23,6847.166140138391
24,1921.9156949459461
25,6434.443172155622
26,1965.7058127176897
27,1864.0798246614536
28,6711.386572313177
29,6657.92470733755
30,6452.543369770896
31,1983.9909741124402
32,6381.962810684722
33,5622.257974435429
34,6254.713751768706
35,5516.396694959374
36,5918.987378877958
37,1803.974418617604
38,6886.147942860859
39,6868.939034682571
40,6132.800055171525
41,4814.069900257336
42,6507.753755850402
43,5819.272989226322
44,1810.101954133229
45,5676.239826405719
46,9865.079553528914
47,2022.024206434418
48,5599.036588157418
49,5533.682057245089
50,4767.649240836328
51,5750.837853704829
52,5223.625665961135
53,1975.569523664219
54,5332.610637150158
55,6401.8869439590335
56,6537.049899557348
57,6251.98828879165
58,5870.830140159969
59,2001.0967851542132
60,4565.125215086367
61,6388.773969394481
62,4902.46830445048
63,6788.060335885274
64,6097.881416746611
65,5564.950951270416
66,5733.170327111614
67,6363.107291785325
68,7080.984117412143
69,4659.798215492107
70,5526.20326363671
71,6297.100200784423
72,7038.552655375082
73,5900.30924641917
74,6421.180038678833
75,5403.026921700796
76,5645.862840617331
77,5572.717745738531
78,5520.015976622821
79,7518.541833398775
80,1976.5110228588765
81,6556.837414885213
82,6744.87772759071
83,7561.7799150662
84,6581.991176797916
85,5838.562933486856
86,5686.684294938418
87,5709.106345997748
88,6020.126378326635
89,2620.6975606856736
90,5651.49494660825
91,5360.237312936119
92,7261.960795114138
93,5614.061206672951
94,6240.5860366572815
95,5536.925270552065
96,5329.526347610679
97,5752.87787396696
98,6113.6382188469
99,6086.516254478085
100,8104.7322646858165
101,6305.362305642654
102,5606.6285705639175
103,6077.377978556805
104,5895.287422480831
105,5533.6545069530475
106,5792.747981069117
107,5876.089286600945
108,5150.1478980112315
109,6611.091930588675
110,5671.64309525144
111,5797.23240827863
112,7783.864353135855
113,6110.203434512123
114,6313.981824134722
115,1962.8218388112787
116,6301.851793572873
117,5924.978607252413
118,4959.825419763943
119,6147.440577860224
120,7672.389623280827
121,1817.2182443263277
122,6209.563652962169
123,1885.1131598659172
124,6819.1073107530965
125,4351.498568677321
126,5772.8070724785275
127,6551.810454843053
128,6486.233874933403
129,6568.549339301179
130,6121.367245315057
131,5838.3776320408215
132,5160.152673847974
133,5381.395928712239
134,5348.773260482287
135,5358.898685026892
136,5467.426659666233
137,5930.129255783179
138,5665.33814958242
139,5770.52537593957
140,4682.26044706227
141,6767.529088353595
142,5605.016218401673
143,5582.0516400812085
144,5909.311325232125
145,4517.776401706095
146,5292.921379065196
147,5785.767078279993
148,6497.712118125375
149,6315.265445786902
150,1773.7051482900529
151,2050.9477141801767
152,5555.704772365094
153,2195.157252434251
154,5361.306904464397
155,6232.145172250086
156,4497.333193987048
157,1819.9618751320559
158,4392.976805249694
159,6108.2810321534835
160,6808.973497928947
161,7089.620867807419
162,1984.8758229096843
163,5563.2164316183125
164,5998.900342824803
165,4207.390945135322
166,6150.092398378281
167,2047.143906380972
168,5474.656662396703
169,5457.432812672042
170,5697.026769704606
171,1840.8422265185754
172,5708.933994883177
173,3044.839626258065
174,4541.426482182772
175,6008.412048407556
176,5587.670719629644
177,4421.95884484988
178,5374.856456139062
179,6579.25417818283
180,5568.086639535043
181,4630.137651225976
182,5456.785379176358
183,4959.517770927155
184,5378.592487472446
185,5495.0604760605065
186,6143.831781552311
187,6384.601597650897
188,6973.149377315067
189,5606.999277962
190,5927.895776123205
191,4559.038889484983
192,5766.275151395634
193,6173.465372847798
194,6191.596727518738
195,6061.5636774949635
196,6059.050467698564
197,5792.113195372408
198,5997.854229332319
199,4475.392024858057
200,4232.142721336557
201,5564.441706240213
202,5834.509466108709
203,5960.0254368093365
